(\d+)\/(\d+)に(\S+)の予定;@%n %0月%1日に，『%2』．　しかと承った．;TODO
(\d+)\/(\d+)に(\S+)する予定;@%n %0月%1日に，『%2』……じゃな？　カレンダーにマルつけとけばいいかの……．;TODO
TODO (\S+);@%n 『%0』をリストに登録しておいたからな．後で見るんじゃぞ．;TODO
(\d{10,13});@%n それは『%result%』であっとるか？　とりあえず本棚に足しとくからの．;BOOK
占って;@%n あ？ ……One Card Spreadでいいか？ ……あー，どこやったかな……あった．ほい．%result%．解釈は自分でやってくれ．;FTELLING
占い;@%n あ？ ……One Card Spreadでいいか？ ……あー，どこやったかな……あった．ほい．%result%．解釈は自分でやってくれ．;FTELLING
うらない;@%n あ？ ……One Card Spreadでいいか？ ……あー，どこやったかな……あった．ほい．%result%．解釈は自分でやってくれ．;FTELLING
(\d+)d(\d+)\+(\d+);@%n (ころころ) %0d%1+%2 = %result%と出た．;DICE
(\d+)d(\d+);@%n (ころころ) %0d%1 = %result%と出た．;DICE
ping;@%n pong;PING
